updated_at,created_at,commenter,pr_author,pr_id,comment_id,Code
2023-10-01 23:29:42-07:00,2023-10-01 23:29:42-07:00,ibradford,danny43,2,1652162856,Approving
2023-10-01 23:31:53-07:00,2023-10-01 23:31:53-07:00,scottcox,danny43,2,1652167044,Approving
2023-10-08 12:56:34-07:00,2023-10-08 12:56:34-07:00,scottcox,ibradford,3,1663591439,Empty
2023-10-08 12:56:57-07:00,2023-10-08 12:56:57-07:00,mark90,ibradford,3,1663591484,Approving
2023-10-08 13:00:14-07:00,2023-10-08 13:00:14-07:00,juliecooper,ibradford,4,1663593233,Approving
2023-10-08 13:00:15-07:00,2023-10-08 13:00:15-07:00,scottcox,ibradford,4,1663593237,Empty
2023-10-08 14:21:27-07:00,2023-10-08 14:21:27-07:00,ibradford,danny43,5,1663602486,Approving
2023-10-08 14:21:32-07:00,2023-10-08 14:21:32-07:00,scottcox,danny43,5,1663602496,Approving
2023-10-11 13:03:19-07:00,2023-10-11 13:03:19-07:00,scottcox,ibradford,6,1672462180,Approving
2023-10-13 12:44:47-07:00,2023-10-13 12:44:47-07:00,danny43,ibradford,6,1677251748,Approving
2023-10-13 20:38:00-07:00,2023-10-13 20:38:00-07:00,mark90,ibradford,12,1677724736,Empty
2023-10-13 20:52:10-07:00,2023-10-13 20:52:10-07:00,scottcox,ibradford,12,1677733004,Empty
2023-10-14 17:52:39-07:00,2023-10-14 17:52:39-07:00,danny43,ibradford,14,1678532181,Empty
2023-10-14 17:52:39-07:00,2023-10-14 17:52:39-07:00,danny43,ibradford,14,1359693779,Directing
2023-10-14 17:52:39-07:00,2023-10-14 17:52:39-07:00,danny43,ibradford,14,1359693779,Suggesting
2023-10-14 17:53:42-07:00,2023-10-14 17:53:42-07:00,danny43,ibradford,14,1678532256,Empty
2023-10-14 17:53:42-07:00,2023-10-14 17:53:42-07:00,danny43,ibradford,14,1359693855,Directing
2023-10-14 17:53:44-07:00,2023-10-14 17:53:43-07:00,ibradford,ibradford,14,1359693856,Approving
2023-10-14 17:53:44-07:00,2023-10-14 17:53:44-07:00,ibradford,ibradford,14,1678532257,Empty
2023-10-14 17:55:45-07:00,2023-10-14 17:55:45-07:00,danny43,ibradford,14,1678532362,Approving
2023-10-14 17:58:54-07:00,2023-10-14 17:58:54-07:00,scottcox,ibradford,14,1678532539,Approving
2023-10-15 19:46:49-07:00,2023-10-15 19:46:49-07:00,scottcox,danny43,18,1679001293,Approving
2023-10-15 19:48:43-07:00,2023-10-15 19:48:43-07:00,juliecooper,danny43,18,1679002632,Approving
2023-10-24 11:29:23-07:00,2023-10-24 11:29:23-07:00,mark90,danny43,22,1695622635,Approving
2023-10-24 11:33:15-07:00,2023-10-24 11:33:15-07:00,ibradford,danny43,22,1695629812,Updating
2023-10-24 11:33:15-07:00,2023-10-24 11:33:15-07:00,ibradford,danny43,22,1695629812,Approving
2023-10-25 17:54:17-07:00,2023-10-25 17:54:17-07:00,mark90,scottcox,23,1698560591,Updating
2023-10-29 20:09:05-07:00,2023-10-29 20:09:05-07:00,mark90,juliecooper,29,1703183418,Updating
2023-10-29 20:09:05-07:00,2023-10-29 20:09:05-07:00,mark90,juliecooper,29,1703183418,Approving
2023-10-30 15:23:59-07:00,2023-10-30 15:23:59-07:00,ibradford,juliecooper,29,1705168359,Approving
2023-10-30 13:45:07-07:00,2023-10-30 13:45:07-07:00,scottcox,mark90,30,1376780712,Directing
2023-10-30 13:45:07-07:00,2023-10-30 13:45:07-07:00,scottcox,mark90,30,1376780712,Criticizing
2023-10-30 13:45:07-07:00,2023-10-30 13:45:07-07:00,scottcox,mark90,30,1705033311,Empty
2023-10-30 13:46:29-07:00,2023-10-30 13:46:29-07:00,scottcox,mark90,30,1705035406,Empty
